lat	lon
47.5603421	19.0607034
47.4380497	19.0939689
47.493796	19.04374
47.552986	19.092237
47.477036	19.0813984
47.470365	19.086666
47.50504	19.11738
47.485982	19.0704888
47.5172564	19.1436344
47.4474749	19.2144821
47.5639508	19.1152552
47.5409824	19.0446744
47.489173	19.06284
47.506844	19.168609
47.4533691	19.0181538
47.4675475	19.1638065
47.4935624	19.0713461
47.504351	19.0453846
47.5015731	19.0811129
47.4892861	19.0613138
47.5358602	19.0290698
47.4437313	19.1529691
47.5005187	19.0652834
47.5116866	19.0721391
47.49456	18.987379
47.461458	19.0520698
47.486058	19.093163
47.4970039	19.0633598
47.5604542	19.1210361
47.5000365	19.0694325
47.5002831	19.0247399
47.3789933	19.1304181
47.5690648	19.0808148
47.4621267	19.1468281
47.5600521	19.024139
47.4148491	19.0968145
47.50211	19.0674014
47.4867068	19.0707758
47.5553804	19.0767016
47.5175583	19.2143556
47.4956503	19.0185125
47.4773598	19.0495138
47.4903658	19.0220828
47.4877797	19.0557648
47.4651162	19.0331709
47.559052	19.0795861
47.5658063	19.1120093
47.5316335	18.9862009
47.5615392	19.1067855
47.4843191	19.0690886
47.507086	19.0631721
47.465734	19.022269
47.5138991	19.2001721
47.4920561	19.0163134
47.4818712	19.0671057
47.5781397	19.1114121
47.4384587	19.2522958
47.5159943	19.0497351
47.44103	19.13421
47.4100798	19.0220504
47.493114	19.043161
47.4801895	19.0170047
47.4551244	19.1701311
47.5195263	19.113311
47.4901156	19.060904
47.3792709	19.052745
47.522648	19.081282
47.502474	19.066226
47.4992093	19.0700394
47.5319013	19.0790445
47.5103368	19.0560793
47.5383149	19.0697651
47.5342318	19.1308548
47.4924871	19.0674508
47.4983138	19.0488753
47.5322609	19.0366062
47.399613	18.990911
47.5556039	18.9988426
47.5126465	19.0489237
47.5100524	19.0584231
47.4957025	19.0517731
47.5030167	19.0657505
47.4894512	19.0205928
47.4812263	19.0737042
47.449496	19.1933159
47.4946125	19.0435994
47.4258964	19.1477912
47.5631582	19.081634
47.5220859	19.1008672
47.4850033	19.0788447
47.4168627	19.2068507
47.5714413	19.0652552
47.4988367	19.0586848
47.539735	19.0705805
47.4903792	19.0702345
47.4822247	19.1365415
47.4900533	19.0619904
47.5606088	19.0898585
47.4999491	19.0593719
47.5003106	19.0692731
47.4866638	19.0239858
47.4835167	19.2383789
47.5136118	19.0595664
47.5120098	19.1180675
47.5276435	19.075625
47.505804	19.060685
47.4720765	19.1097112
47.4559698	19.146363
47.506352	19.0758714
47.399523	18.990858
47.5085245	19.1021391
47.4728222	19.2129294
47.5742765	19.0815035
47.5173236	19.0913919
47.4324433	19.1750004
47.496665	19.066489
47.5242154	19.0977842
47.5124673	19.0494489
47.485495	19.064315
47.4892772	19.0394019
47.4778183	19.0519851
47.49897	19.070229
47.4321295	19.0910281
47.4874123	19.0251221
47.3988889	18.9891666
47.499383	19.0874789
47.4651747	19.0216363
47.486935	19.1526612
47.546463	19.028866
47.502795	19.1069728
47.5167462	19.0326283
47.4859018	19.0700261
47.3998863	19.1145102
47.5327563	19.038967
47.48858	19.064087
47.4897299	19.0666921
47.4798095	19.0576097
47.5330567	19.0722067
47.5657634	19.1459847
47.4857331	19.1078867
47.4885837	19.0601346
47.4996939	19.0697491
47.515375	19.03938
47.506915	19.0554254
47.4748477	19.0798315
47.5166632	18.9987604
47.4547476	19.1818764
47.5203454	19.1877966
47.46642	19.123095
47.5044964	19.1508115
47.4890971	19.0626732
47.534504	19.051383
47.502135	19.0665851
47.5010276	19.1123786
47.4764749	19.0526437
47.4625701	19.1321856
47.4933846	19.07256
47.5105316	19.0558559
47.5149429	19.0778626
47.5644764	19.0221818
47.4364931	19.035006
47.4227881	19.2373739
47.4784514	19.074353
47.381615	19.128228
47.4705397	19.0839901
47.4558439	19.0195444
47.4968381	19.024181
47.493536	19.044169
47.4654574	19.0732185
47.6111292	19.0840886
47.4568072	19.0405569
47.5911	19.1188586
47.4641955	19.0308056
47.58499	18.9982712
47.4949042	19.0426074
47.4679736	19.0459146
47.5162515	19.0877219
47.4054596	19.0693289
47.4917908	19.0557309
47.5199633	19.0590613
47.4876602	19.0630254
47.4895915	19.0618115
47.4595441	19.140528
47.5345742	18.9735346
47.4135976	19.017721
47.472913	19.032701
47.4218987	19.2393066
47.5783399	19.1227256
47.4799549	19.0649135
47.5949721	19.0542657
47.5146959	19.0362375
47.4886357	19.0925757
47.4858242	19.0755845
47.5056255	19.1191662
47.4667973	19.1230483
47.4139992	19.1729823
47.5063651	19.0705511
47.5605143	19.0981625
47.4971103	19.0242423
47.5279473	19.0664356
47.419083	19.074285
47.5016217	19.0658206
47.4649033	19.1693078
47.4842134	19.1251368
47.4558671	19.0194948
47.532555	19.0408553
47.4371284	19.0392674
47.523805	19.098364
47.499032	19.0583617
47.4581661	19.1460674
47.5182633	19.0721905
47.472142	19.1091188
47.4717909	19.1077188
47.4846018	19.0535763
47.4887244	19.081114
47.546867	19.093516
47.6079023	19.1288032
47.454714	19.1816695
47.51513	19.141338
47.5012209	19.0659156
47.5242521	19.0757406
47.465343	19.013912
47.4884098	19.0687913
47.4238585	19.070138
47.4686978	19.0674592
47.493851	19.043373
47.4520526	19.1438893
47.454646	19.181749
47.5139638	19.1681817
47.510889	19.0100013
47.52914	19.064889
47.5136087	19.0497299
47.4883904	19.0625173
47.4955755	19.0398822
47.5253531	19.0893862
47.4104988	19.1116876
47.527782	19.038023
47.4651465	19.0733295
47.494631	19.028468
47.5351803	18.9998068
47.498467	19.0594862
47.4848105	19.0765491
47.4532274	19.1430572
47.4508926	19.154423
47.461229	18.9674516
47.3999571	19.1184868
47.4984145	19.0483857
47.5326567	19.0667946
47.4965785	19.066204
47.485456	19.0466296
47.4731179	19.0517008
47.493186	19.0443149
47.46864	19.1553273
47.507146	19.170512
47.4606653	19.0519364
47.6062797	19.1119724
47.498391	19.124486
47.3791075	19.0548272
47.5489803	19.1473121
47.4870841	19.0704162
47.5016667	19.0397222
47.3778148	19.043912
47.4459073	19.1905322
47.5380875	19.0839163
47.5348724	19.1027207
47.5116456	19.0263388
47.505752	19.1124783
47.469443	19.145705
47.4965644	19.0558593
47.5827724	18.9458754
47.5461293	19.2339108
47.5554408	18.970982
47.4407892	19.2244015
47.5555491	18.9988629
47.4830556	19.0694444
47.4954981	19.062397
47.4860426	19.0762853
47.4895271	19.0614875
47.4378888	19.0940769
47.5104047	19.0527404
47.4184146	19.0637461
